Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,1185.0,1705.0,2144.0,2449.0,2920.0,3745.0,4228.0,4445.0,4554.0,4727.0,4460.0,3490.0,3780.0,4672.0,4873.0,5176.0,5430.0,5673.0,6241.0,6683.0,7075.0,7357.0,7629.0,7293.0,7905.0,9448.0,9579.0,10001.0,11546.0,13709.0,16647.0,19291.0,22653.0,26803.0,23913.0,26806.0,29915.0,31963.0,33823.0,34773.0,32523.0,33885.0,37205.0,39568.0,40447.0,35838.0,40840.0,46458.0,46192.0,46943.0,47829.0
Bangladesh,8476.0,9447.0,9950.0,12751.0,14758.0,24775.0,26355.0,24678.0,23904.0,26817.0,28819.0,29639.0,32449.0,34914.0,38070.0,41068.0,42488.0,43292.0,43684.0,46438.0,51842.0,55445.0,57599.0,59879.0,61526.0,61687.0,62537.0,65036.0,71755.0,77152.0,79530.0,86028.0,95374.0,109765.0,122760.0,138094.0,154097.0,159749.0,179676.0,207102.0,233687.0,265236.0,293755.0,321379.0,351238.0,373902.0,416265.0,460201.0,451534.0,451096.0,467218.0
Barbados,476.0,517.0,588.0,658.0,798.0,1048.0,1154.0,1205.0,1280.0,1395.0,1460.0,1603.0,1765.0,1877.0,2077.0,2084.0,2092.0,2015.0,2136.0,2227.0,2348.0,2515.0,2667.0,3057.0,3210.0,3312.0,3306.0,3364.0,3479.0,3754.0,4213.0,4702.0,5273.0,5401.0,5064.0,5138.0,5302.0,5233.0,5338.0,5366.0,5288.0,5331.0,5517.0,5630.0,5788.0,5168.0,5275.0,6257.0,6721.0,7167.0,7552.0
Belarus,,,,,,,,,,,,,,,,,,12800.0,11408.0,15687.0,10532.0,14494.0,14091.0,15215.0,12133.0,10785.0,12778.0,15092.0,18420.0,23928.0,31239.0,38219.0,46815.0,62798.0,50855.0,57220.0,61368.0,65669.0,75496.0,78736.0,56329.0,47703.0,54723.0,60011.0,64414.0,61312.0,68207.0,73735.0,71792.0,71180.0,71561.0
Belgium,66028.0,71495.0,83282.0,101793.0,116940.0,123479.0,102245.0,89959.0,85037.0,81237.0,84468.0,117063.0,145412.0,158098.0,159817.0,200150.0,205370.0,228733.0,218721.0,238623.0,288302.0,279292.0,253022.0,258876.0,258503.0,236897.0,236748.0,258200.0,318004.0,369047.0,385927.0,408281.0,470978.0,517271.0,484488.0,481949.0,527106.0,498731.0,524106.0,538127.0,461091.0,474141.0,500733.0,542885.0,536787.0,529269.0,598892.0,593906.0,644968.0,664965.0,684864.0
Belize,104.0,82.0,106.0,121.0,141.0,229.0,238.0,238.0,251.0,280.0,278.0,303.0,354.0,418.0,482.0,547.0,597.0,696.0,753.0,772.0,819.0,851.0,873.0,929.0,1000.0,1139.0,1173.0,1245.0,1309.0,1401.0,1475.0,1591.0,1707.0,1739.0,1688.0,1746.0,1827.0,1909.0,2033.0,2138.0,2193.0,2240.0,2266.0,2293.0,2388.0,2043.0,2421.0,2847.0,3067.0,3427.0,3611.0
Benin,674.0,718.0,786.0,954.0,1162.0,2302.0,1557.0,1542.0,1365.0,1456.0,1580.0,2036.0,2430.0,2552.0,2370.0,2890.0,2954.0,3284.0,3199.0,2227.0,2993.0,3251.0,3124.0,3362.0,3681.0,3522.0,3666.0,4191.0,5348.0,6187.0,6571.0,7034.0,8170.0,9787.0,9728.0,9543.0,10691.0,11148.0,12518.0,13288.0,11389.0,11818.0,12697.0,14257.0,14392.0,15674.0,17699.0,17439.0,19679.0,21249.0,22236.0
Bhutan,87.0,88.0,98.0,94.0,105.0,132.0,143.0,150.0,162.0,168.0,174.0,197.0,238.0,273.0,272.0,293.0,254.0,248.0,260.0,263.0,308.0,324.0,362.0,398.0,418.0,454.0,474.0,517.0,616.0,700.0,818.0,876.0,1071.0,1353.0,1274.0,1528.0,1880.0,1967.0,1999.0,1963.0,2159.0,2252.0,2462.0,2651.0,2618.0,2586.0,2623.0,2869.0,2923.0,3092.0,3422.0
Bolivia,2399.0,2749.0,2765.0,3020.0,3274.0,3589.0,3440.0,3813.0,3609.0,3752.0,4059.0,3970.0,4323.0,4598.0,4716.0,4868.0,5335.0,5635.0,5724.0,5974.0,6707.0,7385.0,7919.0,8490.0,8269.0,8385.0,8155.0,7917.0,8092.0,8785.0,9573.0,11520.0,13216.0,16792.0,17464.0,19786.0,24135.0,27282.0,30883.0,33237.0,33241.0,34189.0,37782.0,40581.0,41193.0,36897.0,40701.0,44329.0,45464.0,48404.0,56339.0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,3584.0,4578.0,5281.0,5766.0,5568.0,5801.0,6728.0,8499.0,10157.0,11223.0,12865.0,15779.0,19113.0,17614.0,17176.0,18644.0,17227.0,18179.0,18559.0,16404.0,17117.0,18326.0,20484.0,20483.0,20226.0,23673.0,24535.0,27592.0,28795.0,28807.0
Botswana,274.0,297.0,383.0,456.0,595.0,1174.0,1037.0,1094.0,1208.0,1200.0,1117.0,1515.0,2374.0,3082.0,3441.0,3799.0,3802.0,3928.0,3957.0,4258.0,4805.0,4926.0,5011.0,4808.0,5413.0,5682.0,5460.0,5395.0,7469.0,8819.0,9833.0,9919.0,10566.0,10731.0,10118.0,12637.0,15111.0,13907.0,14272.0,15470.0,13531.0,15083.0,16105.0,17032.0,16696.0,14930.0,18750.0,20321.0,19411.0,19356.0,19400.0
Brazil,108051.0,127741.0,148672.0,168803.0,186095.0,145819.0,167583.0,179166.0,143652.0,142957.0,226938.0,263256.0,286539.0,320105.0,439434.0,455335.0,399249.0,382465.0,429184.0,546764.0,770860.0,851146.0,883862.0,864307.0,599642.0,655454.0,559982.0,509798.0,558232.0,669290.0,891633.0,1107628.0,1397114.0,1695855.0,1669204.0,2208704.0,2614027.0,2464053.0,2471718.0,2456055.0,1800046.0,1796622.0,2063519.0,1916934.0,1873286.0,1476092.0,1670650.0,1951849.0,2191137.0,2171337.0,2125958.0
